match_id;match_date;stadium_id;home_team_id;away_team_id;tournament_id;stage_name;home_team_score;away_team_score;result
M-1930-01;1930-07-13;S-240;T-30;T-46;WC-1930;group stage;4;1;home team win
M-1930-02;1930-07-13;S-239;T-83;T-06;WC-1930;group stage;3;0;home team win
M-1930-03;1930-07-14;S-239;T-87;T-09;WC-1930;group stage;2;1;home team win
M-1930-04;1930-07-14;S-240;T-61;T-56;WC-1930;group stage;3;1;home team win
M-1930-05;1930-07-15;S-239;T-03;T-30;WC-1930;group stage;1;0;home team win
M-1930-06;1930-07-16;S-239;T-13;T-46;WC-1930;group stage;3;0;home team win
M-1930-07;1930-07-17;S-239;T-87;T-07;WC-1930;group stage;4;0;home team win
M-1930-08;1930-07-17;S-239;T-83;T-55;WC-1930;group stage;3;0;home team win
M-1930-09;1930-07-18;S-238;T-84;T-56;WC-1930;group stage;1;0;home team win
M-1930-10;1930-07-19;S-238;T-13;T-30;WC-1930;group stage;1;0;home team win
M-1930-11;1930-07-19;S-238;T-03;T-46;WC-1930;group stage;6;3;home team win
M-1930-12;1930-07-20;S-238;T-09;T-07;WC-1930;group stage;4;0;home team win
M-1930-13;1930-07-20;S-238;T-55;T-06;WC-1930;group stage;1;0;home team win
M-1930-14;1930-07-21;S-238;T-84;T-61;WC-1930;group stage;4;0;home team win
M-1930-15;1930-07-22;S-238;T-03;T-13;WC-1930;group stage;3;1;home team win
M-1930-16;1930-07-26;S-238;T-03;T-83;WC-1930;semi-finals;6;1;home team win
M-1930-17;1930-07-27;S-238;T-84;T-87;WC-1930;semi-finals;6;1;home team win
M-1930-18;1930-07-30;S-238;T-84;T-03;WC-1930;final;4;2;home team win
M-1934-01;1934-05-27;S-114;T-05;T-30;WC-1934;round of 16;3;2;home team win
M-1934-02;1934-05-27;S-113;T-21;T-61;WC-1934;round of 16;2;1;home team win
M-1934-03;1934-05-27;S-105;T-31;T-06;WC-1934;round of 16;5;2;home team win
M-1934-04;1934-05-27;S-108;T-36;T-26;WC-1934;round of 16;4;2;home team win
M-1934-05;1934-05-27;S-111;T-41;T-83;WC-1934;round of 16;7;1;home team win
M-1934-06;1934-05-27;S-106;T-73;T-09;WC-1934;round of 16;3;1;home team win
M-1934-07;1934-05-27;S-102;T-74;T-03;WC-1934;round of 16;3;2;home team win
M-1934-08;1934-05-27;S-107;T-75;T-48;WC-1934;round of 16;3;2;home team win
M-1934-09;1934-05-31;S-102;T-05;T-36;WC-1934;quarter-finals;2;1;home team win
M-1934-10;1934-05-31;S-114;T-21;T-75;WC-1934;quarter-finals;3;2;home team win
M-1934-11;1934-05-31;S-107;T-31;T-74;WC-1934;quarter-finals;2;1;home team win
M-1934-12;1934-05-31;S-105;T-41;T-73;WC-1934;quarter-finals;1;1;draw
M-1934-13;1934-06-01;S-105;T-41;T-73;WC-1934;quarter-finals;1;0;home team win
M-1934-14;1934-06-03;S-111;T-21;T-31;WC-1934;semi-finals;3;1;home team win
M-1934-15;1934-06-03;S-107;T-41;T-05;WC-1934;semi-finals;1;0;home team win
M-1934-16;1934-06-07;S-108;T-31;T-05;WC-1934;third-place match;3;2;home team win
M-1934-17;1934-06-10;S-111;T-41;T-21;WC-1934;final;2;1;home team win
M-1938-01;1938-06-04;S-068;T-75;T-31;WC-1938;round of 16;1;1;draw
M-1938-02;1938-06-05;S-077;T-19;T-61;WC-1938;round of 16;3;3;draw
M-1938-03;1938-06-05;S-069;T-30;T-06;WC-1938;round of 16;3;1;home team win
M-1938-04;1938-06-05;S-071;T-36;T-23;WC-1938;round of 16;6;0;home team win
M-1938-05;1938-06-05;S-064;T-41;T-53;WC-1938;round of 16;2;1;home team win
M-1938-06;1938-06-05;S-075;T-09;T-57;WC-1938;round of 16;6;5;home team win
M-1938-07;1938-06-05;S-058;T-21;T-48;WC-1938;round of 16;3;0;home team win
M-1938-08;1938-06-09;S-077;T-19;T-61;WC-1938;round of 16;2;1;home team win
M-1938-09;1938-06-09;S-068;T-75;T-31;WC-1938;round of 16;4;2;home team win
M-1938-10;1938-06-12;S-056;T-09;T-21;WC-1938;quarter-finals;1;1;draw
M-1938-11;1938-06-12;S-061;T-36;T-75;WC-1938;quarter-finals;2;0;home team win
M-1938-12;1938-06-12;S-069;T-41;T-30;WC-1938;quarter-finals;3;1;home team win
