player_id;family_name;given_name;goal_keeper;defender;midfielder;forward;count_tournaments
P-05074;A'Court;Alan;0;0;0;1;1
P-00942;Abadzhiev;Stefan;0;0;0;1;1
P-03051;Abalo;Jean-Paul;0;1;0;0;1
P-03371;Abanda;Patrice;0;1;0;0;1
P-04977;Abate;Ignazio;0;1;0;0;1
P-06675;Abbadie;Julio;0;0;0;1;1
P-06214;Abbiati;Christian;1;0;0;0;1
P-05883;Abbondanzieri;Roberto;1;0;0;0;1
P-06019;Abd Al-Jawad;Mohamed;0;1;0;0;1
P-06687;Abdel Rahman;Adel;0;0;0;1;1
P-08319;Abdel Shafy;Mohamed;0;1;0;0;1
P-00067;Abdel-Hamid;Gamal;0;0;1;0;1
P-02311;Abdelghani;Magdi;0;0;1;0;1
P-09113;Abdellah;Nacer;0;1;0;0;1
P-01763;Abdollahi;Nasrollah;0;1;0;0;1
P-02876;Abdoun;Djamel;0;0;1;0;1
P-04135;Abdulghani;Hussein;0;1;0;0;1
P-01597;Abdullah;Majed;0;0;0;1;1
P-08180;Abdullahi;Shehu;0;1;0;0;1
P-00800;Abdulrahman;Fahad;0;0;1;0;1
P-05270;Abe;Yuki;0;0;1;0;1
P-08280;Abedzadeh;Ahmad Reza;1;0;0;0;1
P-04364;Abedzadeh;Amir;1;0;0;0;1
P-09062;Abega;Thophile;0;0;1;0;1
P-01401;Abel;not applicable;0;1;0;0;1
P-08688;Abeledo;Ramn;0;0;1;0;1
P-01155;Abid;Anad;0;0;0;1;1
P-03781;Abonyi;Attila;0;0;0;1;1
P-05726;Abouzeid;Taher;0;0;1;0;1
P-03821;Abrahamsson;Henock;1;0;0;0;1
P-03561;Abramczik;Rdiger;0;0;0;1;1
P-07032;Abrami;Lahcen;0;1;0;0;1
P-01284;Abreu;Marco;0;1;0;0;1
P-02948;Accio;not applicable;1;0;0;0;1
P-08293;Acasuzo;Eusebio;1;0;0;0;1
P-03927;Aceros;Germn;0;0;0;1;1
P-00687;Aceval;Danilo;1;0;0;0;1
P-04924;Acevedo;David;0;1;0;0;1
P-08292;Acevedo;Eduardo Mario;0;1;0;0;1
P-00615;Acevedo;Elmer;0;0;0;1;1
P-00263;Ach;Alberto;0;1;0;0;1
P-04368;Achilier;Gabriel;0;1;0;0;1
P-04394;Achcarro;Ignacio;0;1;0;0;1
P-09405;Aimovi;Jovan;0;0;1;0;1
P-00419;Aimovi;Milenko;0;0;0;1;1
P-07165;Acquah;Afriyie;0;0;1;0;1
P-07169;Acua;Clarence;0;0;1;0;1
P-00912;Acua;Juan;1;0;0;0;1
P-05355;Acua;Marcos;0;1;0;0;1
P-05203;Adam;Glen;0;1;0;0;1
P-00659;Adamache;Stere;1;0;0;0;1
P-08988;Adams;Ferdinand;0;0;0;1;1
P-06941;Adams;Stephen;1;0;0;0;1
P-08896;Adams;Tony;0;1;0;0;1
P-07835;Adamson;Jimmy;0;0;1;0;1
P-03870;Adozinho;not applicable;0;0;0;1;1
P-00163;Addo;Eric;0;1;0;0;1
P-09971;Addo;Otto;0;0;0;1;1
P-08496;Addy;Lee;0;1;0;0;1
P-05661;Adebayor;Emmanuel;0;0;0;1;1
P-08351;Adeleye;Dele;0;1;0;0;1
P-04188;Ademir;not applicable;0;0;0;1;1
P-00088;Adiyiah;Dominic;0;0;0;1;1
P-07070;Adjei;Sammy;1;0;0;0;1
P-02968;Ado;not applicable;1;0;0;0;1
P-05758;Adomah;Albert;0;0;1;0;1
P-08367;Adriano;not applicable;0;0;0;1;1
P-08418;Advncula;Luis;0;1;0;0;1
P-09079;Aeby;Georges;0;0;0;1;1
P-00906;Aeby;Paul;0;0;0;1;1
P-02560;Afellay;Ibrahim;0;0;1;0;1
P-07574;Afful;Harrison;0;1;0;0;1
P-08254;Afonsinho;not applicable;0;0;1;0;1
P-05991;Agassa;Kossi;1;0;0;0;1
P-09211;Agbim;Chigozie;1;0;0;0;1
P-07029;Agbo;Hans;0;1;0;0;1
P-07762;Agboh;Kuami;0;0;1;0;1
P-05233;Agbonavbare;Wilfred;1;0;0;0;1
P-08906;Agger;Daniel;0;1;0;0;1
P-04240;Aghahowa;Julius;0;0;0;1;1
P-03564;Agrebi;Hamadi;0;0;1;0;1
P-03208;Agu;Alloysius;1;0;0;0;1
P-00354;guas;Rui;0;0;0;1;1
P-09997;Agero;Juan Bautista;0;0;0;1;1
P-07137;Aguilar;Samuel;1;0;0;0;1
P-09611;Aguilera;Carlos;0;1;0;0;1
P-05744;Aguilera;Edgar;0;1;0;0;1
P-00815;Aguilera;Juan;0;0;0;1;1
P-08649;Aguilera;Oscar;0;0;0;1;1
P-05308;Aguinaga;lex;0;0;1;0;1
P-00053;Aguirre;Francisco;0;0;1;0;1
P-05703;Aguirre;Javier;0;0;1;0;1
P-03329;Agyei;Daniel;1;0;0;0;1
P-04018;Agyemang-Badu;Emmanuel;0;0;1;0;1
P-00513;Ahlstrm;Thomas;0;0;1;0;1
P-04700;hlund;Olle;0;0;1;0;1
P-04020;Ahmadi;Rahman;1;0;0;0;1
P-00980;hman;Ronald;0;0;1;0;1
P-02885;Ahmed;Issah;0;1;0;0;1
P-04538;Ahorlu;Stephen;1;0;0;0;1
P-01444;Ahumada;Sergio;0;0;0;1;1
P-05481;Aigner;Ernst;0;1;0;0;1
P-00834;Aird;Jock;0;1;0;0;1
P-00577;Airosa;Marco;0;1;0;0;1
P-01832;At Bennasser;Youssef;0;0;1;0;1
P-04960;Aiyenugba;Dele;1;0;0;0;1
P-04983;Akal;Kanga;0;0;1;0;1
P-07871;Akanji;Manuel;0;1;0;0;1
P-01613;Akgn;Kamaz;0;1;0;0;1
P-04144;Akid;Mohamed;0;0;0;1;1
P-00505;Akoto;Eric;0;1;0;0;1
P-05826;Akpa Akpro;Jean-Daniel;0;1;0;0;1
P-04202;Akpeyi;Daniel;1;0;0;0;1
P-01221;Akw;not applicable;0;0;0;1;1
P-09578;Akwuegbu;Benedict;0;0;0;1;1
P-04956;Akyel;Fatih;0;1;0;0;1
P-05015;Al-Anazi;Awad;0;1;0;0;1
P-00675;Al-Anberi;Abdulaziz;0;0;0;1;1
P-03161;Al-Antaif;Tisir;1;0;0;0;1
P-02263;Al-Bahri;Ahmed;0;1;0;0;1
P-09175;Al-Bishi;Fahad;0;0;1;0;1
P-09501;Al-Bishi;Mohamed;0;1;0;0;1
P-08579;Al-Breik;Mohammed;0;1;0;0;1
P-05231;Al-Bulaihi;Ali;0;1;0;0;1
P-09837;Al-Buloushi;Abdulaziz;0;0;0;1;1
P-01258;Al-Buloushi;Abdullah;0;0;0;1;1
P-06167;Al-Dakhil;Faisal;0;0;0;1;1
P-06282;Al-Dawod;Saleh;0;1;0;0;1
P-03366;Al-Dawsari;Salem;0;0;1;0;1
P-09471;Al-Dosari;Abdullah;0;1;0;0;1
P-09480;Al-Faraj;Salman;0;0;1;0;1
P-07084;Al-Ghanim;Nassir;0;0;1;0;1
P-03557;Al-Ghesheyan;Fahad;0;0;0;1;1
P-02915;Al-Haddad;Abdulrahman;0;1;0;0;1
